id,category_name,parent_id
1,レディース,0
2,メンズ,0
3,ベビー・キッズ,0
4,インテリア・住まい・小物,0
5,本・音楽・ゲーム,0
6,おもちゃ・ホビー・グッズ,0
7,コスメ・香水・美容,0
8,家電・スマホ・カメラ,0
9,スポーツ・レジャー,0
10,ハンドメイド,0
11,チケット,0
12,自動車・オートバイ,0
13,その他,0
14,トップス,1
15,Tシャツ/カットソー(半袖/袖なし),14
16,キャミソール,14
17,ニット/セーター,14
18,ワンピース,1
19,ミニワンピース,18
20,ひざ丈ワンピース,18
21,ロングワンピース,18
22,バッグ,1
23,ハンドバッグ,22
24,ポーチ/バニティ,22
25,マザーズバッグ,22
26,ジャケット/アウター,2
27,Gジャン/デニムジャケット,26
28,レザージャケット,26
29,トレンチコート,26
30,スーツ,2
31,スーツジャケット,30
32,スラックス,30
33,セットアップ,30
34,小物,2
35,長財布,34
36,ネクタイ,34
37,マフラー,34
38,キッズ服(男女兼用)100cm〜,3
39,ジャケット,38
40,コート,38
41,パジャマ,38
42,キッズ靴,3
43,スニーカー,42
44,サンダル,42
45,ブーツ,42
46,おもちゃ,3
47,がらがら,46
48,おふろのおもちゃ,46
49,知育玩具,46
50,キッチン/食器,4
51,食器,50
52,調理器具,50
53,エプロン,50
54,椅子/チェア,4
55,ダイニングチェア,54
56,ロッキングチェア,54
57,座椅子,54
58,ライト/照明,4
59,天井照明,58
60,蛍光灯/電球,58
61,フロアスタンド,58
62,本,5
63,文学/小説,62
64,コンピュータ/IT,62
65,健康/医学,62
66,DVD/ブルーレイ,5
67,外国映画,66
68,TVドラマ,66
69,アニメ,66
70,テレビゲーム,5
71,家庭用ゲーム本体,70
72,携帯用ゲームソフト,70
73,PCゲーム,70
74,おもちゃ・ホビー・グッズ,6
75,おもちゃ,74
76,ぬいぐるみ,74
77,キャラクターグッズ,74
78,トレーディングカード,6
79,マジック・ザ・ギャザリング,78
80,遊戯王,78
81,スリーブ,78
82,楽器/機材,6
83,アコースティックギター,82
84,アンプ,82
85,楽譜/スコア,82
86,ベースメイク,7
87,化粧下地,86
88,ファンデーション,86
89,フェイスパウダー,86
90,ネイルケア,7
91,ネイルカラー,90
92,ネイルパーツ,90
93,手入れ用具,90
94,香水,7
95,香水(女性用),94
96,香水(男性用),94
97,ボディミスト,94
98,スマートフォン/携帯電話,8
99,スマートフォン本体,98
100,バッテリー/充電器,98
101,PHS本体,98
102,テレビ/映像機器,8
103,テレビ,102
104,ブルーレイレコーダー,102
105,DVDプレーヤー,102
106,生活家電,8
107,冷蔵庫,106
108,電子レンジ/オーブン,106
109,コーヒーメーカー,106
110,ゴルフ,9
111,クラブ,110
112,バッグ,110
113,その他,110
114,テニス,9
115,ラケット(硬式用),114
116,シューズ,114
117,ウェア,114
118,アウトドア,9
119,テント/タープ,118
120,寝袋/寝具,118
121,登山用品,118
122,アクセサリー(女性用),10
123,ピアス,122
124,ブレスレット,122
125,ヘアゴム,122
126,日用品/インテリア,10
127,キッチン用品,126
128,文房具,126
129,フラワー/ガーデン,126
130,素材/材料,10
131,生地/糸,130
132,型紙/パターン,130
133,その他,130
134,音楽,11
135,女性アイドル,134
136,国内アーティスト,134
137,音楽フェス,134
138,演劇/芸能,11
139,ミュージカル,138
140,演劇,138
141,お笑い,138
142,施設利用券,11
143,遊園地/テーマパーク,142
144,スキー場,142
145,美術館/博物館,142
146,自動車本体,12
147,国内自動車本体,146
148,外国自動車本体,146
149,スーパーカー,146
150,自動車パーツ,12
151,サスペンション,150
152,内装品、シート,150
153,マフラー・排気系,150
154,オートバイパーツ,12
155,タイヤ,154
156,エンジン、冷却装置,154
157,ライト・ウィンカー,154
158,ペット用品,13
159,ペットフード,158
160,猫用品,158
161,爬虫類/両生類用品,158
162,飲料/酒,13
163,コーヒー,162
164,ウイスキー,162
165,ビール、発泡酒,162
166,その他,13
167,その他,166
